Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS;Ecart-type de l'IPS
2018-2019;LYON;001;AIN;0010966V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PHILIBERT COMMERSON;01053;BOURG EN BRESSE;public;69.6;
2018-2019;POITIERS;016;CHARENTE;0160968R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;16271;PUYMOYEN;public;71.8;
2018-2019;LIMOGES;019;CORREZE;0190089U;LYCEE D ENSEIGNEMENT ADAPTE ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DES MILLES SOURCES;19136;MEYMAC;public;63.6;
2018-2019;BORDEAUX;024;DORDOGNE;0240112S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOEL JEANNOT;24557;TRELISSAC;public;74.2;
2018-2019;ORLEANS-TOURS;028;EURE-ET-LOIR;0280659P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;28229;MAINVILLIERS;public;72.6;
2018-2019;ORLEANS-TOURS;036;INDRE;0360050J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;36044;CHATEAUROUX;public;65.6;
2018-2019;BORDEAUX;040;LANDES;0400094K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NICOLAS BREMONTIER;40281;SAINT PIERRE DU MONT;public;81.9;
2018-2019;LYON;042;LOIRE;0421608V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NELSON MANDELA;42302;SORBIERS;public;71.8;
2018-2019;LILLE;059;NORD;0594541R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS VISUELS IGNACE PLEYEL;59360;LOOS;public;80.4;
2018-2019;LILLE;059;NORD;0595483P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS MOYENS HANDICAPES SOCIAUX NELSON MANDELA;59350;LILLE;public;62.5;
2018-2019;CAEN;061;ORNE;0610996B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PIERRE MENDES FRANCE;61168;LA FERTE MACE;public;68.0;
2018-2019;LILLE;062;PAS-DE-CALAIS;0622302R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MICHEL COLUCCI;62510;LIEVIN;public;61.0;
2018-2019;CLERMONT-FERRAND;063;PUY-DE-DOME;0630665F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LATTRE DE TASSIGNY;63307;ROMAGNAT;public;69.3;
2018-2019;GRENOBLE;073;SAVOIE;0731045P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE MIRANTIN;73011;ALBERTVILLE;public;77.7;
2018-2019;PARIS;075;PARIS;0752799K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CROCE SPINELLI;75114;PARIS 14E ARRONDISSEMENT;public;77.1;
2018-2019;NANTES;085;VENDEE;0850047P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN D ORBESTIER;85060;CHATEAU D OLONNE;public;66.7;
2018-2019;DIJON;089;YONNE;0891016W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JULES VERNE;89206;JOIGNY;public;69.8;
2018-2019;VERSAILLES;091;ESSONNE;0911353B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN ISOARD;91421;MONTGERON;public;91.6;
2018-2019;AMIENS;002;AISNE;0021478W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;02691;SAINT QUENTIN;public;60.2;
2018-2019;DIJON;021;COTE D'OR;0211428N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;21054;BEAUNE;public;77.4;
2018-2019;TOULOUSE;031;HAUTE-GARONNE;0311240E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;31395;MURET;public;76.1;
2018-2019;BESANCON;039;JURA;0390055Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA MORAINE;39183;CROTENAY;public;68.7;
2018-2019;CLERMONT-FERRAND;043;HAUTE-LOIRE;0430109K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE VIALATTE;43040;BRIOUDE;public;63.3;
2018-2019;ORLEANS-TOURS;045;LOIRET;0451104F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;45004;AMILLY;public;70.5;
2018-2019;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541268K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS RICHARD JOUBERT;54196;FLAVIGNY SUR MOSELLE;public;94.0;
2018-2019;MONTPELLIER;066;PYRENEES-ORIENTALES;0660078B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOAN MIRO;66136;PERPIGNAN;public;65.7;
2018-2019;LYON;069;RHONE;0692390Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CITE SCOLAIRE RENE PELLET LYCEE DES METIERS DU TERTIAIRE ET DE L ARTISANAT D ART;69266;VILLEURBANNE;public;85.2;
2018-2019;NANTES;072;SARTHE;0720920J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE RAPHAEL ELIZE;72058;CHANGE;public;65.1;
2018-2019;POITIERS;079;DEUX-SEVRES;0790979K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;79239;SAINT AUBIN LE CLOUD;public;69.8;
2018-2019;VERSAILLES;092;HAUTS-DE-SEINE;0920810F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN MONNET;92033;GARCHES;public;100.8;
2018-2019;VERSAILLES;092;HAUTS-DE-SEINE;0921935D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE TOULOUSE LAUTREC;92076;VAUCRESSON;public;121.5;
2018-2019;MAYOTTE;976;MAYOTTE;9760357J;EREA L ESPERANCE;97611;MAMOUDZOU;privé sous contrat;60.8;
2017-2018;LYON;001;AIN;0010966V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PHILIBERT COMMERSON;01053;BOURG EN BRESSE;public;70.0;
2017-2018;TOULOUSE;012;AVEYRON;0121178R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;12300;VILLEFRANCHE DE ROUERGUE;public;73.2;
2017-2018;DIJON;021;COTE D'OR;0211428N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;21054;BEAUNE;public;76.0;
2017-2018;RENNES;029;FINISTERE;0290347V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUISE MICHEL;29232;QUIMPER;public;66.2;
2017-2018;TOULOUSE;031;HAUTE-GARONNE;0311240E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;31395;MURET;public;80.1;
2017-2018;RENNES;035;ILLE-ET-VILAINE;0350747X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;35238;RENNES;public;66.5;
2017-2018;NANTES;044;LOIRE-ATLANTIQUE;0440329U;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA RIVIERE;44109;NANTES;public;73.5;
2017-2018;NANTES;049;MAINE-ET-LOIRE;0490925P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;49267;SAINT BARTHELEMY D ANJOU;public;66.1;
2017-2018;REIMS;052;HAUTE-MARNE;0520709N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PRE AUX SAULES;52550;WASSY;public;62.1;
2017-2018;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541268K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;54196;FLAVIGNY SUR MOSELLE;public;92.7;
2017-2018;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541338L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HUBERT MARTIN;54099;VAL DE BRIEY;public;66.4;
2017-2018;CAEN;061;ORNE;0610996B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PIERRE MENDES FRANCE;61168;LA FERTE MACE;public;68.2;
2017-2018;LILLE;062;PAS-DE-CALAIS;0622302R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MICHEL COLUCCI;62510;LIEVIN;public;60.8;
2017-2018;DIJON;071;SAONE-ET-LOIRE;0711050F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CLAUDE BROSSE;71105;CHARNAY LES MACON;public;70.3;
2017-2018;NANTES;085;VENDEE;0850047P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN D ORBESTIER;85060;CHATEAU D OLONNE;public;69.5;
2017-2018;NANCY-METZ;088;VOSGES;0881119N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS GEORGIN;88160;EPINAL;public;62.2;
2017-2018;VERSAILLES;092;HAUTS-DE-SEINE;0920810F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN MONNET;92033;GARCHES;public;104.8;
2017-2018;VERSAILLES;092;HAUTS-DE-SEINE;0921935D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE TOULOUSE LAUTREC;92076;VAUCRESSON;public;120.8;
2017-2018;CRETEIL;094;VAL-DE-MARNE;0940171A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE STENDHAL;94011;BONNEUIL SUR MARNE;public;78.1;
2017-2018;CRETEIL;094;VAL-DE-MARNE;0940319L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NOGENT SUR MARNE;94052;NOGENT SUR MARNE;public;74.6;
2017-2018;TOULOUSE;009;ARIEGE;0090481Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE GUY VILLEROUX;09225;PAMIERS;public;69.0;
2017-2018;RENNES;022;COTES D'ARMOR;0221569L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE BEAUREGARD;22339;TADEN;public;69.0;
2017-2018;GRENOBLE;026;DROME;0261034H;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;26198;MONTELIMAR;public;76.5;
2017-2018;MONTPELLIER;034;HERAULT;0340833W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN JACQUES ROUSSEAU;34172;MONTPELLIER;public;69.0;
2017-2018;BORDEAUX;040;LANDES;0400094K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NICOLAS BREMONTIER;40281;SAINT PIERRE DU MONT;public;77.7;
2017-2018;LYON;042;LOIRE;0421608V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NELSON MANDELA;42302;SORBIERS;public;64.4;
2017-2018;REIMS;051;MARNE;0511106A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE BOURNEVILLE;51108;CHALONS EN CHAMPAGNE;public;66.1;
2017-2018;MONTPELLIER;066;PYRENEES-ORIENTALES;0660078B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOAN MIRO;66136;PERPIGNAN;public;66.3;
2017-2018;STRASBOURG;067;BAS-RHIN;0671455T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HENRI EBEL;67218;ILLKIRCH GRAFFENSTADEN;public;68.9;
2017-2018;NANTES;072;SARTHE;0720920J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE RAPHAEL ELIZE;72058;CHANGE;public;66.3;
2017-2018;GRENOBLE;073;SAVOIE;0730811K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE AMELIE GEX;73065;CHAMBERY;public;80.0;
2017-2018;PARIS;075;PARIS;0750828T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EDITH PIAF;75120;PARIS 20E ARRONDISSEMENT;public;72.0;
2017-2018;ROUEN;076;SEINE MARITIME;0762211R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;76681;SOTTEVILLE LES ROUEN;public;69.2;
2017-2018;AIX-MARSEILLE;084;VAUCLUSE;0840096Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PAUL VINCENSINI;84141;VEDENE;public;73.5;
2017-2018;POITIERS;086;VIENNE;0860793V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANNE FRANK;86157;MIGNALOUX BEAUVOIR;public;69.8;
2017-2018;VERSAILLES;092;HAUTS-DE-SEINE;0920429S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EREA;92004;ASNIERES SUR SEINE;public;77.8;
2017-2018;CORSE;02A;CORSE-DU-SUD;6200636X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE SANGUINAIRES LYCEE DES METIERS DE LA TRANSITION ENERGETIQUE EN CORSE;2A004;AJACCIO;public;74.9;
2017-2018;AMIENS;002;AISNE;0021478W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;02691;SAINT QUENTIN;public;60.9;
2017-2018;AIX-MARSEILLE;004;ALPES-DE-HTE-PROVENCE;0040378P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CASTEL BEVONS;04027;BEVONS;public;66.8;
2017-2018;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132343B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUIS ARAGON;13071;LES PENNES MIRABEAU;public;71.9;
2017-2018;POITIERS;016;CHARENTE;0160968R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;16271;PUYMOYEN;public;68.3;
2017-2018;BORDEAUX;033;GIRONDE;0332198K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CORBUSIER;33318;PESSAC;public;76.3;
2017-2018;NANCY-METZ;057;MOSELLE;0570582Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;57708;VERNY;public;61.6;
2017-2018;AMIENS;060;OISE;0600070A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;60178;CREVECOEUR LE GRAND;public;67.3;
2017-2018;CLERMONT-FERRAND;063;PUY-DE-DOME;0630665F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LATTRE DE TASSIGNY;63307;ROMAGNAT;public;74.5;
2017-2018;LYON;069;RHONE;0692390Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CITE SCOLAIRE RENE PELLET LYCEE DES METIERS DU TERTIAIRE ET DE L ARTISANAT D ART;69266;VILLEURBANNE;public;83.6;
2017-2018;CRETEIL;077;SEINE-ET-MARNE;0770342D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE CHAMIGNY GARCON;77078;CHAMIGNY;public;74.7;
2017-2018;DIJON;089;YONNE;0891016W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JULES VERNE;89206;JOIGNY;public;71.6;
2017-2018;VERSAILLES;091;ESSONNE;0910429X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CHATEAU DU LAC;91461;OLLAINVILLE;public;82.3;
2017-2018;VERSAILLES;091;ESSONNE;0911353B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN ISOARD;91421;MONTGERON;public;93.3;
2017-2018;VERSAILLES;095;VAL-D'OISE;0950164M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;95052;BEAUMONT SUR OISE;public;79.8;
2017-2018;CAEN;014;CALVADOS;0141420T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE YVONNE GUEGAN;14327;HEROUVILLE SAINT CLAIR;public;70.9;
2017-2018;CLERMONT-FERRAND;015;CANTAL;0150613K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALBERT MONIER;15014;AURILLAC;public;71.1;
2017-2018;BESANCON;025;DOUBS;0251371E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALAIN FOURNIER;25056;BESANCON;public;67.1;
2017-2018;BORDEAUX;033;GIRONDE;0331739L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LA PLAINE;33162;EYSINES;public;93.0;
2017-2018;RENNES;035;ILLE-ET-VILAINE;0350732F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN BART;35236;REDON;public;71.3;
2017-2018;GRENOBLE;038;ISERE;0382107J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA BATIE;38111;CLAIX;public;75.8;
2017-2018;CAEN;050;MANCHE;0501232T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;50502;SAINT LO;public;66.7;
2017-2018;RENNES;056;MORBIHAN;0560217G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LES PINS;56162;PLOEMEUR;public;67.3;
2017-2018;LILLE;059;NORD;0594541R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS VISUELS IGNACE PLEYEL;59360;LOOS;public;78.3;
2017-2018;LILLE;059;NORD;0595483P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS MOYENS HANDICAPES SOCIAUX;59350;LILLE;public;59.9;
2017-2018;GRENOBLE;073;SAVOIE;0731045P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE MIRANTIN;73011;ALBERTVILLE;public;77.2;
2017-2018;PARIS;075;PARIS;0752799K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CROCE SPINELLI;75114;PARIS 14E ARRONDISSEMENT;public;76.2;
2017-2018;ROUEN;076;SEINE MARITIME;0762081Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAURICE GENEVOIX;76351;LE HAVRE;public;65.5;
2017-2018;POITIERS;079;DEUX-SEVRES;0790979K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;79239;SAINT AUBIN LE CLOUD;public;67.1;
2017-2018;MAYOTTE;976;MAYOTTE;9760357J;EREA L ESPERANCE;97611;MAMOUDZOU;privé sous contrat;56.3;
2017-2018;POITIERS;017;CHARENTE-MARITIME;0170392J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE THEODORE MONOD;17415;SAINTES;public;64.6;
2017-2018;LIMOGES;019;CORREZE;0190089U;LYCEE D ENSEIGNEMENT ADAPTE ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DES MILLES SOURCES;19136;MEYMAC;public;65.0;
2017-2018;BORDEAUX;024;DORDOGNE;0240112S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOEL JEANNOT;24557;TRELISSAC;public;72.9;
2017-2018;ORLEANS-TOURS;028;EURE-ET-LOIR;0280659P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;28229;MAINVILLIERS;public;70.1;
2017-2018;ORLEANS-TOURS;036;INDRE;0360050J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;36044;CHATEAUROUX;public;66.6;
2017-2018;BESANCON;039;JURA;0390055Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA MORAINE;39183;CROTENAY;public;68.6;
2017-2018;CLERMONT-FERRAND;043;HAUTE-LOIRE;0430109K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE VIALATTE;43040;BRIOUDE;public;65.2;
2017-2018;ORLEANS-TOURS;045;LOIRET;0451104F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;45004;AMILLY;public;70.1;
2017-2018;BORDEAUX;047;LOT-ET-GARONNE;0470753N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARIE CLAUDE RICHE;47323;VILLENEUVE SUR LOT;public;67.4;
2017-2018;LILLE;059;NORD;0594380R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS LEGERS HANDICAPES SOCIAUX;59367;LYS LEZ LANNOY;public;59.1;
2017-2018;LILLE;062;PAS-DE-CALAIS;0620229M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANTOINE DE SAINT EXUPERY;62108;BERCK;public;86.3;
2017-2018;LILLE;062;PAS-DE-CALAIS;0622099V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE COTE D OPALE;62193;CALAIS;public;62.3;
2017-2018;PARIS;075;PARIS;0753256G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE DUMAS;75115;PARIS 15E ARRONDISSEMENT;public;76.6;
2017-2018;VERSAILLES;095;VAL-D'OISE;0950983C;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA TOUR DU MAIL;95582;SANNOIS;public;91.7;
2016-2017;DIJON;021;COTE D'OR;0211428N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;21054;BEAUNE;public;75.4;
2016-2017;ORLEANS-TOURS;028;EURE-ET-LOIR;0280659P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;28229;MAINVILLIERS;public;70.5;
2016-2017;RENNES;029;FINISTERE;0290347V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUISE MICHEL;29232;QUIMPER;public;73.1;
2016-2017;BORDEAUX;033;GIRONDE;0331739L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LA PLAINE;33162;EYSINES;public;95.5;
2016-2017;RENNES;035;ILLE-ET-VILAINE;0350732F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN BART;35236;REDON;public;72.7;
2016-2017;GRENOBLE;038;ISERE;0382107J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA BATIE;38111;CLAIX;public;75.4;
2016-2017;BESANCON;039;JURA;0390055Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA MORAINE;39183;CROTENAY;public;66.7;
2016-2017;NANTES;044;LOIRE-ATLANTIQUE;0440329U;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA RIVIERE;44109;NANTES;public;77.6;
2016-2017;LILLE;062;PAS-DE-CALAIS;0620229M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANTOINE DE SAINT EXUPERY;62108;BERCK;public;91.6;
2016-2017;MONTPELLIER;066;PYRENEES-ORIENTALES;0660078B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOAN MIRO;66136;PERPIGNAN;public;67.1;
2016-2017;NANTES;072;SARTHE;0720920J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE RAPHAEL ELIZE;72058;CHANGE;public;66.0;
2016-2017;ROUEN;076;SEINE MARITIME;0762081Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAURICE GENEVOIX;76351;LE HAVRE;public;65.9;
2016-2017;ROUEN;076;SEINE MARITIME;0762211R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;76681;SOTTEVILLE LES ROUEN;public;67.7;
2016-2017;POITIERS;079;DEUX-SEVRES;0790979K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;79239;SAINT AUBIN LE CLOUD;public;66.3;
2016-2017;VERSAILLES;092;HAUTS-DE-SEINE;0920429S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EREA;92004;ASNIERES SUR SEINE;public;79.9;
2016-2017;VERSAILLES;092;HAUTS-DE-SEINE;0920810F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN MONNET;92033;GARCHES;public;103.1;
2016-2017;VERSAILLES;092;HAUTS-DE-SEINE;0921935D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE TOULOUSE LAUTREC;92076;VAUCRESSON;public;120.4;
2016-2017;MAYOTTE;976;MAYOTTE;9760357J;EREA L ESPERANCE;97611;MAMOUDZOU;privé sous contrat;56.3;
2016-2017;AMIENS;002;AISNE;0021478W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;02691;SAINT QUENTIN;public;61.0;
2016-2017;AIX-MARSEILLE;004;ALPES-DE-HTE-PROVENCE;0040378P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CASTEL BEVONS;04027;BEVONS;public;68.0;
2016-2017;TOULOUSE;012;AVEYRON;0121178R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;12300;VILLEFRANCHE DE ROUERGUE;public;71.7;
2016-2017;POITIERS;016;CHARENTE;0160968R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;16271;PUYMOYEN;public;66.9;
2016-2017;MONTPELLIER;034;HERAULT;0340833W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN JACQUES ROUSSEAU;34172;MONTPELLIER;public;74.2;
2016-2017;BORDEAUX;040;LANDES;0400094K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NICOLAS BREMONTIER;40281;SAINT PIERRE DU MONT;public;77.2;
2016-2017;LYON;042;LOIRE;0421608V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MONCHOVET;42302;SORBIERS;public;67.7;
2016-2017;BORDEAUX;047;LOT-ET-GARONNE;0470753N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARIE CLAUDE RICHE;47323;VILLENEUVE SUR LOT;public;69.5;
2016-2017;REIMS;051;MARNE;0511106A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE BOURNEVILLE;51108;CHALONS EN CHAMPAGNE;public;67.9;
2016-2017;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541338L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HUBERT MARTIN;54099;BRIEY;public;67.3;
2016-2017;RENNES;056;MORBIHAN;0560217G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LES PINS;56162;PLOEMEUR;public;67.8;
2016-2017;LILLE;059;NORD;0594380R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS LEGERS HANDICAPES SOCIAUX;59367;LYS LEZ LANNOY;public;61.0;
2016-2017;LILLE;059;NORD;0595483P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS MOYENS HANDICAPES SOCIAUX;59350;LILLE;public;58.7;
2016-2017;LILLE;062;PAS-DE-CALAIS;0622302R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MICHEL COLUCCI;62510;LIEVIN;public;60.5;
2016-2017;CLERMONT-FERRAND;063;PUY-DE-DOME;0630665F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LATTRE DE TASSIGNY;63307;ROMAGNAT;public;69.5;
2016-2017;GRENOBLE;073;SAVOIE;0730811K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE AMELIE GEX;73065;CHAMBERY;public;77.9;
2016-2017;PARIS;075;PARIS;0752799K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CROCE SPINELLI;75114;PARIS 14E ARRONDISSEMENT;public;77.3;
2016-2017;POITIERS;086;VIENNE;0860793V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANNE FRANK;86157;MIGNALOUX BEAUVOIR;public;71.1;
