Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS;Ecart-type de l'IPS
2021-2022;VERSAILLES;092;HAUTS-DE-SEINE;0920810F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN MONNET;92033;GARCHES;public;100.5;39.3
2021-2022;LYON;001;AIN;0010966V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PHILIBERT COMMERSON;01053;BOURG EN BRESSE;public;76.4;23.3
2021-2022;TOULOUSE;009;ARIEGE;0090481Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE GUY VILLEROUX;09225;PAMIERS;public;72.0;21.2
2021-2022;LIMOGES;019;CORREZE;0190089U;LYCEE D ENSEIGNEMENT ADAPTE ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DES MILLES SOURCES;19136;MEYMAC;public;72.3;25.3
2021-2022;DIJON;021;COTE D'OR;0211428N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALAIN FOURNIER;21054;BEAUNE;public;74.7;20.6
2021-2022;RENNES;035;ILLE-ET-VILAINE;0350732F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN BART;35236;REDON;public;75.1;24.6
2021-2022;NANTES;044;LOIRE-ATLANTIQUE;0440329U;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA RIVIERE;44109;NANTES;public;80.2;31.5
2021-2022;LILLE;062;PAS-DE-CALAIS;0622099V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE COTE D OPALE;62193;CALAIS;public;65.0;24.3
2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;0660078B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOAN MIRO;66136;PERPIGNAN;public;64.3;20.2
2021-2022;LYON;069;RHONE;0692390Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CITE SCOLAIRE RENE PELLET LYCEE DES METIERS DU TERTIAIRE ET DE L ARTISANAT D ART;69266;VILLEURBANNE;public;81.2;33.6
