Rentrée scolaire;Code région;Région;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2023-2024;10;ILE-DE-FRANCE;24;CRETEIL;94;VAL-DE-MARNE;94011;BONNEUIL SUR MARNE;0940171A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE STENDHAL;public;80.9;26;66.4;81.8;81.8;NA;86.2;86.2;NA;86.1;86.1;151.0
2023-2024;10;ILE-DE-FRANCE;25;VERSAILLES;95;VAL-D'OISE;95052;BEAUMONT SUR OISE;0950164M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;public;91.4;29.1;66.4;81.8;81.8;NA;105;105;NA;90.3;90.3;153.0
2024-2025;18;PROVENCE-ALPES-COTE D'AZUR;02;AIX-MARSEILLE;04;ALPES-DE-HAUTE-PROVENCE;04027;BEVONS;0040378P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE HAUTE PROVENCE;public;87.1;23.2;63.3;82.3;82.2;NA;81;81;NA;87.1;87.1;159.0
2024-2025;18;PROVENCE-ALPES-COTE D'AZUR;02;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;13071;LES PENNES MIRABEAU;0132343B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUIS ARAGON;public;81.2;28.5;63.3;82.3;82.2;NA;81;81;NA;81.2;81.2;162.0
2024-2025;04;CENTRE-VAL DE LOIRE;18;ORLEANS-TOURS;28;EURE-ET-LOIR;28229;MAINVILLIERS;0280659P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;79.7;25.6;63.3;82.3;82.2;NA;75.7;75.7;NA;79.7;79.7;172.0
2024-2025;15;NOUVELLE-AQUITAINE;04;BORDEAUX;33;GIRONDE;33318;PESSAC;0332198K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CORBUSIER;public;81.2;24.8;63.3;82.3;82.2;NA;83.4;83.4;NA;88;88;176.0
2024-2025;04;CENTRE-VAL DE LOIRE;18;ORLEANS-TOURS;36;INDRE;36044;CHATEAUROUX;0360050J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ERIC TABARLY;public;70.6;19.1;63.3;82.3;82.2;NA;75.7;75.7;NA;70.6;70.6;180.0
2024-2025;14;NORMANDIE;70;NORMANDIE;50;MANCHE;50502;SAINT LO;0501232T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ROBERT DOISNEAU;public;73.5;19.7;63.3;82.3;82.2;NA;74.1;74.1;NA;73.5;73.5;190.0
2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62108;BERCK;0620229M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANTOINE DE SAINT EXUPERY;public;91.7;30.3;63.3;82.3;82.2;NA;77.7;77.7;NA;77.6;77.6;201.0
2024-2025;06;GRAND EST;15;STRASBOURG;67;BAS-RHIN;67218;ILLKIRCH GRAFFENSTADEN;0671455T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HENRI EBEL;public;79.2;24.4;63.3;82.3;82.2;NA;79.2;79.2;NA;79.2;79.2;206.0
2024-2025;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;71;SAONE-ET-LOIRE;71105;CHARNAY LES MACON;0711050F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CLAUDE BROSSE;public;76.1;21;63.3;82.3;82.2;NA;77.4;77.4;NA;76.1;76.1;208.0
2024-2025;10;ILE-DE-FRANCE;01;PARIS;75;PARIS;75114;PARIS 14E ARRONDISSEMENT;0752799K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CROCE SPINELLI;public;83.1;24.9;63.3;82.3;82.2;NA;85.3;85.3;NA;85.3;85.3;213.0
2024-2025;10;ILE-DE-FRANCE;01;PARIS;75;PARIS;75115;PARIS 15E ARRONDISSEMENT;0753256G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE DUMAS;public;85.4;23.4;63.3;82.3;82.2;NA;85.3;85.3;NA;85.3;85.3;214.0
2024-2025;14;NORMANDIE;70;NORMANDIE;76;SEINE-MARITIME;76681;SOTTEVILLE LES ROUEN;0762211R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;public;75.8;21.3;63.3;82.3;82.2;NA;74.1;74.1;NA;73.7;73.7;216.0
2024-2025;18;PROVENCE-ALPES-COTE D'AZUR;02;AIX-MARSEILLE;84;VAUCLUSE;84141;VEDENE;0840096Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PAUL VINCENSINI;public;75.5;23.1;63.3;82.3;82.2;NA;81;81;NA;75.5;75.5;219.0
2024-2025;10;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92004;ASNIERES SUR SEINE;0920429S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARTIN LUTHER KING;public;90.9;24.6;63.3;82.3;82.2;NA;104;104;NA;115.8;115.8;225.0
2024-2025;10;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92033;GARCHES;0920810F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN MONNET;public;109.9;36;63.3;82.3;82.2;NA;104;104;NA;115.8;115.8;226.0
