Rentrée scolaire;Code région;Région;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2024-2025;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;89;YONNE;89206;JOIGNY;0891016W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JULES VERNE;public;75.4;19.3;63.3;82.3;82.2;NA;77.4;77.4;NA;75.4;75.4;222.0
2022-2023;16;OCCITANIE;16;TOULOUSE;09;ARIEGE;09225;PAMIERS;0090481Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE GUY VILLEROUX;public;78.1;19.5;NA;81.8;81.8;NA;80.7;80.7;NA;78.1;78.1;4.0
2022-2023;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;15;CANTAL;15014;AURILLAC;0150613K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALBERT MONIER;public;77.9;28.7;NA;81.8;81.8;NA;76.3;76.3;NA;77.9;77.9;8.0
2022-2023;15;NOUVELLE-AQUITAINE;04;BORDEAUX;24;DORDOGNE;24557;TRELISSAC;0240112S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOEL JEANNOT;public;76.7;24;NA;81.8;81.8;NA;82.7;82.7;NA;76.7;76.7;13.0
2022-2023;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;26;DROME;26198;MONTELIMAR;0261034H;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;81.1;23.4;NA;81.8;81.8;NA;82.3;82.3;NA;81.1;81.1;15.0
2022-2023;03;BRETAGNE;14;RENNES;29;FINISTERE;29232;QUIMPER;0290347V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUISE MICHEL;public;86.4;23.5;NA;81.8;81.8;NA;79.9;79.9;NA;86.4;86.4;17.0
2022-2023;16;OCCITANIE;11;MONTPELLIER;34;HERAULT;34172;MONTPELLIER;0340833W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN JACQUES ROUSSEAU;public;85.1;31;NA;81.8;81.8;NA;76.6;76.6;NA;85.1;85.1;21.0
2022-2023;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;43;HAUTE-LOIRE;43040;BRIOUDE;0430109K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE VIALATTE;public;69.9;17.6;NA;81.8;81.8;NA;76.3;76.3;NA;69.9;69.9;29.0
2022-2023;15;NOUVELLE-AQUITAINE;04;BORDEAUX;47;LOT-ET-GARONNE;47323;VILLENEUVE SUR LOT;0470753N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARIE CLAUDE RICHE;public;78.7;22.5;NA;81.8;81.8;NA;82.7;82.7;NA;78.7;78.7;32.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59350;LILLE;0595483P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NELSON MANDELA;public;71.8;21.4;NA;81.8;81.8;NA;77.2;77.2;NA;76.9;76.9;42.0
2022-2023;09;HAUTS-DE-FRANCE;20;AMIENS;60;OISE;60178;CREVECOEUR LE GRAND;0600070A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOSEPHINE BAKER A CREVECOEUR LE GRAND;public;72.6;16.4;NA;81.8;81.8;NA;73.1;73.1;NA;72.6;72.6;43.0
2022-2023;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;63;PUY-DE-DOME;63307;ROMAGNAT;0630665F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LATTRE DE TASSIGNY;public;78.6;22.7;NA;81.8;81.8;NA;76.3;76.3;NA;78.6;78.6;48.0
2022-2023;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;71;SAONE-ET-LOIRE;71105;CHARNAY LES MACON;0711050F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CLAUDE BROSSE;public;70.4;18.7;NA;81.8;81.8;NA;74.4;74.4;NA;70.4;70.4;52.0
2022-2023;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;73;SAVOIE;73065;CHAMBERY;0730811K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE AMELIE GEX;public;81.2;22.5;NA;81.8;81.8;NA;82.3;82.3;NA;80.5;80.5;54.0
2022-2023;14;NORMANDIE;70;NORMANDIE;76;SEINE-MARITIME;76351;LE HAVRE;0762081Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAURICE GENEVOIX;public;76.4;21.4;NA;81.8;81.8;NA;74;74;NA;74.8;74.8;59.0
2022-2023;14;NORMANDIE;70;NORMANDIE;76;SEINE-MARITIME;76681;SOTTEVILLE LES ROUEN;0762211R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;public;73.9;17.6;NA;81.8;81.8;NA;74;74;NA;74.8;74.8;60.0
2022-2023;10;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92076;VAUCRESSON;0921935D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE TOULOUSE LAUTREC;public;124.9;36;NA;81.8;81.8;NA;103.7;103.7;NA;113.1;113.1;71.0
2022-2023;10;ILE-DE-FRANCE;25;VERSAILLES;95;VAL-D'OISE;95582;SANNOIS;0950983C;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA TOUR DU MAIL;public;90.4;27.7;NA;81.8;81.8;NA;103.7;103.7;NA;90.1;90.1;76.0
2022-2023;05;CORSE;27;CORSE;2A;CORSE-DU-SUD;2A004;AJACCIO;6200636X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE AJACCIO;public;82.1;24.2;NA;81.8;81.8;NA;82.1;82.1;NA;82.1;82.1;77.0
2023-2024;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;21;COTE D'OR;21054;BEAUNE;0211428N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALAIN FOURNIER;public;81;22.7;66.4;81.8;81.8;NA;76.8;76.8;NA;81;81;90.0
2023-2024;03;BRETAGNE;14;RENNES;29;FINISTERE;29232;QUIMPER;0290347V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUISE MICHEL;public;84.3;23.1;66.4;81.8;81.8;NA;77.8;77.8;NA;84.3;84.3;95.0
2023-2024;16;OCCITANIE;11;MONTPELLIER;34;HERAULT;34172;MONTPELLIER;0340833W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN JACQUES ROUSSEAU;public;84.6;31.7;66.4;81.8;81.8;NA;78.3;78.3;NA;84.6;84.6;99.0
2023-2024;03;BRETAGNE;14;RENNES;35;ILLE-ET-VILAINE;35238;RENNES;0350747X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAGDA HOLLANDER LAFON;public;69.1;17.2;66.4;81.8;81.8;NA;77.8;77.8;NA;73.4;73.4;101.0
2023-2024;02;BOURGOGNE-FRANCHE-COMTE;03;BESANCON;39;JURA;39183;CROTENAY;0390055Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA MORAINE;public;81.3;21.8;66.4;81.8;81.8;NA;80.8;80.8;NA;81.3;81.3;104.0
2023-2024;01;AUVERGNE-RHONE-ALPES;10;LYON;42;LOIRE;42302;SORBIERS;0421608V;LYCEE D ENSEIGNEMENT ADAPTE NELSON MANDELA;public;81.9;26.6;66.4;81.8;81.8;NA;82.4;82.4;NA;81.9;81.9;106.0
2023-2024;17;PAYS DE LA LOIRE;17;NANTES;49;MAINE-ET-LOIRE;49267;SAINT BARTHELEMY D ANJOU;0490925P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;73.2;22.7;66.4;81.8;81.8;NA;78;78;NA;73.2;73.2;111.0
2023-2024;06;GRAND EST;19;REIMS;51;MARNE;51108;CHALONS EN CHAMPAGNE;0511106A;LYCEE D ENSEIGNEMENT ADAPTE ROBERT TRITANT A CHALONS EN CHAMPAGNE;public;74.8;20.2;66.4;81.8;81.8;NA;73;73;NA;74.8;74.8;113.0
2023-2024;06;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54196;FLAVIGNY SUR MOSELLE;0541268K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS RICHARD JOUBERT;public;91.5;29.4;66.4;81.8;81.8;NA;82.3;82.3;NA;85.5;85.5;115.0
2023-2024;06;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54099;VAL DE BRIEY;0541338L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HUBERT MARTIN;public;75.7;22.7;66.4;81.8;81.8;NA;82.3;82.3;NA;85.5;85.5;116.0
2023-2024;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59350;LILLE;0595483P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NELSON MANDELA;public;73.2;20.6;66.4;81.8;81.8;NA;77.9;77.9;NA;78.5;78.5;120.0
2023-2024;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0622099V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE COTE D OPALE;public;70.8;18.3;66.4;81.8;81.8;NA;77.9;77.9;NA;77.3;77.3;124.0
2023-2024;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;63;PUY-DE-DOME;63307;ROMAGNAT;0630665F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LATTRE DE TASSIGNY;public;80.1;24.4;66.4;81.8;81.8;NA;77;77;NA;80.1;80.1;126.0
2023-2024;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;73;SAVOIE;73011;ALBERTVILLE;0731045P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE MIRANTIN;public;78.3;17.9;66.4;81.8;81.8;NA;81.2;81.2;NA;78.8;78.8;133.0
2023-2024;14;NORMANDIE;70;NORMANDIE;76;SEINE-MARITIME;76351;LE HAVRE;0762081Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAURICE GENEVOIX;public;73;21;66.4;81.8;81.8;NA;73.7;73.7;NA;72.7;72.7;137.0
2023-2024;14;NORMANDIE;70;NORMANDIE;76;SEINE-MARITIME;76681;SOTTEVILLE LES ROUEN;0762211R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;public;72.4;18.1;66.4;81.8;81.8;NA;73.7;73.7;NA;72.7;72.7;138.0
2024-2025;16;OCCITANIE;16;TOULOUSE;09;ARIEGE;09225;PAMIERS;0090481Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE GUY VILLEROUX;public;78.7;22.6;63.3;82.3;82.2;NA;84.5;84.5;NA;78.7;78.7;160.0
2024-2025;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;21;COTE D'OR;21054;BEAUNE;0211428N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALAIN FOURNIER;public;81.1;21.8;63.3;82.3;82.2;NA;77.4;77.4;NA;81.1;81.1;168.0
2024-2025;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;26;DROME;26198;MONTELIMAR;0261034H;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;83.5;25.5;63.3;82.3;82.2;NA;82.2;82.2;NA;83.5;83.5;171.0
2024-2025;03;BRETAGNE;14;RENNES;35;ILLE-ET-VILAINE;35236;REDON;0350732F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN BART;public;78.8;24.6;63.3;82.3;82.2;NA;75.3;75.3;NA;74;74;178.0
2024-2025;03;BRETAGNE;14;RENNES;56;MORBIHAN;56162;PLOEMEUR;0560217G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LES PINS;public;80.8;19.7;63.3;82.3;82.2;NA;75.3;75.3;NA;80.8;80.8;195.0
2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59360;LOOS;0594541R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS VISUELS IGNACE PLEYEL;public;87.3;28.4;63.3;82.3;82.2;NA;77.7;77.7;NA;77.7;77.7;197.0
2024-2025;14;NORMANDIE;70;NORMANDIE;61;ORNE;61168;LA FERTE MACE;0610996B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PIERRE MENDES FRANCE;public;76.5;21.7;63.3;82.3;82.2;NA;74.1;74.1;NA;76.5;76.5;200.0
2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0622099V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE COTE D OPALE;public;69.7;18.9;63.3;82.3;82.2;NA;77.7;77.7;NA;77.6;77.6;202.0
2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69266;VILLEURBANNE;0692390Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CITE SCOLAIRE RENE PELLET LYCEE DES METIERS DU TERTIAIRE ET DE L ARTISANAT D ART;public;85.7;32.3;63.3;82.3;82.2;NA;83.8;83.8;NA;85.7;85.7;207.0
2024-2025;10;ILE-DE-FRANCE;24;CRETEIL;77;SEINE-ET-MARNE;77078;CHAMIGNY;0770342D;LYCEE D ENSEIGNEMENT ADAPTE DE CHAMIGNY GARCON;public;86.7;24.2;63.3;82.3;82.2;NA;86.9;86.9;NA;86.7;86.7;217.0
2024-2025;06;GRAND EST;12;NANCY-METZ;88;VOSGES;88160;EPINAL;0881119N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS GEORGIN;public;71.4;18.2;63.3;82.3;82.2;NA;83.9;83.9;NA;71.4;71.4;221.0
